FOLD_ID,FAVOURED,ALLOWED,GENEROUSLY ALLOWED,NOT ALLOWED,,,
1,280,37,17,0,,,
2,281,33,16,4,,,
3,286,27,16,5,,,
4,277,34,20,3,,,
5,281,34,13,6,,,
6,291,25,17,1,,,
7,280,31,15,8,,, 
8,279,32,17,6,,,
9,279,32,17,6,,,
10,279,32,17,6,,,
11,287,24,20,3,,,
12,281,29,23,1,,,
13,289,28,12,5,,,
14,287,20,24,3,,,
15,283,30,16,5,,,
16,284,31,15,4,,,
17,277,37,17,3,,,
18,282,34,12,6,,,
19,276,38,15,5,,,
20,282,32,18,2,,,
21,277,24,26,7,,,
22,278,30,19,7,,,
23,280,31,18,5,,,
24,289,30,12,3,,,
25,282,36,13,3,,,
26,284,28,18,4,,,
27,273,39,18,4,,,
28,286,24,22,2,,,
29,275,30,23,6,,,
30,276,41,15,2,,,
31,287,24,19,4,,,
32,283,31,17,3,,,
33,282,37,12,3,,,
34,277,32,23,2,,,
35,288,27,16,3,,,
36,288,27,16,3,,,
37,280,33,16,5,,,
38,278,31,21,4,,,
39,278,34,17,5,,,
40,283,33,13,5,,,
41,302,14,16,2,,,
42,290,22,19,3,,,
43,284,25,19,6,,,
44,279,36,17,2,,,
45,288,25,15,6,,,
46,281,31,20,2,,,
47,284,25,19,6,,,
48,274,37,16,7,,,
49,280,41,11,2,,,
50,275,41,15,3,,,
51,287,31,13,3,,,
52,280,34,15,5,,,
53,277,36,14,7,,,
54,272,38,20,4,,,
55,278,34,13,9,,,
56,284,29,20,1,,,
57,280,34,15,5,,,
58,280,35,17,2,,,
59,280,27,24,3,,,
60,283,30,14,7,,,
61,286,23,21,4,,,
62,278,37,15,4,,,
63,286,23,19,6,,,
64,271,47,15,1,,,
65,286,24,21,3,,,
66,282,25,22,5,,,
67,275,36,19,4,,,
68,280,33,15,6,,,
69,280,33,15,6,,,
70,285,25,19,5,,,
71,276,37,15,6,,,
72,279,30,22,3,,,
73,283,36,13,2,,,
74,284,26,22,2,,,
75,280,27,23,4,,,
76,286,23,22,3,,,
77,276,37,17,4,,,
78,279,26,24,5,,,
79,286,24,15,9,,,
80,290,20,21,3,,,
81,277,38,16,3,,,
82,277,38,16,3,,,
83,281,37,11,5,,,
84,284,31,18,1,,,
85,282,35,14,3,,,
86,275,39,19,1,,,
87,273,41,18,2,,,
88,282,34,12,6,,,
89,282,28,17,7,,,
90,279,19,32,4,,,
91,274,35,20,5,,,
92,286,24,20,4,,,
93,283,28,19,4,,,
94,279,26,24,5,,,
95,275,39,17,3,,,
96,280,36,14,4,,,
97,279,34,16,5,,,
98,280,40,11,3,,,
99,279,37,15,3,,,
100,282,27,19,6,,,
101,279,35,16,4,,,
102,285,30,15,4,,,
103,274,42,13,5,,,
104,287,29,14,4,,,
105,285,31,14,4,,,
106,287,21,21,5,,,
107,277,37,14,6,,,
108,285,28,16,5,,,
109,276,34,21,3,,,
110,283,30,17,4,,,
111,285,28,18,3,,,
112,267,42,20,5,,,
113,289,24,18,3,,,
114,279,36,15,4,,,
115,275,38,16,5,,,
116,280,30,16,8,,,
117,288,25,16,5,,,
118,290,25,13,6,,,
119,279,29,20,6,,,
120,281,29,18,6,,,
121,281,32,18,3,,,
122,287,27,16,4,,,
123,281,27,16,10,,,
124,279,38,15,2,,,
125,281,30,22,1,,,
126,290,20,22,2,,,
127,287,32,12,3,,,
128,287,29,14,4,,,
129,278,33,17,6,,,
130,276,38,17,3,,,
131,275,38,16,5,,,
132,280,39,12,3,,,
133,289,24,17,4,,,
134,281,27,19,7,,,
135,273,34,21,6,,,
136,283,33,17,1,,,
137,284,29,19,2,,,
138,287,29,13,5,,,
139,281,34,17,2,,,
140,276,34,18,6,,,